And this?	و هذه؟
Not most of the time.	ليس معظم الوقت
This morning.	هذا الصباح
So this is the big pedestrian zone in Linz.	هذه منطقة المشاة الرئيسيه في لينز
That's enough now.	هذا يكفي الآن
- Well, that's because your cams are all wrong, Mr Wizard. - Who's been operating this thing?	من الذى كان يشغل هذا الشىء ؟
Care to do the honors?	لا يمكنك تركه
People pay to have their car smell like this.	الناس تدفع حتى تكون رائحة سيارتهم هكذا
As contributions to the discussions in the first phase of the Summit, the Office submitted to the secretariat of the Summit the results of the United Nations/Thailand Workshop on the Contributions of Space Communication Technology to Bridging the Digital Divide (Bangkok, 1-5 September 2003, see A/AC.105/810).	ومساهمة منه في مناقشات المرحلة الأولى لمؤتمر القمة، قدّم المكتب إلى أمانة القمة نتائج حلقة العمل المشتركة بين الأمم المتحدة وتايلند حول إسهام تكنولوجيا الاتصالات الفضائية في سد الفجوة الرقمية (بانكوك، 1-5 أيلول/ سبتمبر 2003، انظر A/AC.105/810).
Consideration of procedural matters and follow-up;	(د) النظر في المسائل الإجرائية والمتابعة؛
Why else would he strand us here?	¶ إلا لماذا انه ترسل لنا هنا ¶
- Slow over there. - How'd you play?	كيف اللعب ؟
Kids Sam's age need discipline, otherwise they run all over you.	يَحتاجُ الأولاد بعُمر سام الأنضباطً والا سيخذلونك
To the asset it feels the same.	بالنسبة لهذا الشخص انه نفس الشيء فحاله لم يتغير
Mom, please give me the money soon.	أمي أرجوك أريد المال بأسرع وقت
Get on the train.	اصعد على متن القطار
Have a seat.	إسترح
- Just came for soda.	‏ - أتيت لاحتساء الصودا فقط.
I had a nightmare.	-راودني كابوس
Did I tell you I sailed on my first try?	هل أخبرتك بأنني أبحرت من أول محاولة؟
It's been crazy busy today.	فقد كان يوماً مُزدحماً.
Here's the plan.	وهنا الخطة.
Such investment is more necessary than ever, even at a time of gradual economic recovery.	ولا شك أن مثل هذه الاستثمارات أصبحت الآن ضرورية إلى حد غير مسبوق، حتى في وقت الانتعاش الاقتصادي التدريجي.
It's 10 minutes. What's he going to do, dry out?	إنها 10 دقائق ماذا سيفعل ؟
Annual report of the Director-General for 2006.	3- التقرير السنوي للمدير العام عن عام 2006.
- No contest.	- لا مسابقه
Like any market, however, the marketplace of ideas needs regulation: in particular, its participants should be bound by norms of honesty, humility, and civility.	ولكن مثله كمثل أي سوق أخرى فإن سوق الأفكار تحتاج إلى التنظيم: ويتعين على المشاركين في هذه السوق أن يتقيدوا بمعايير الصدق والأمانة والتواضع والكياسة. وعلاوة على ذلك فيتعين على كل من يتداول فكرة أن يلتزم بهذه المبادئ.
It took me to a burner.	انهُ مسبق الدفع
We should take more family pictures.	علينا التقاط مزيد من الصور العائلية.
Decision 464 (XLVII) 16 - 18	المقرر 464 (د-47) 17
Nothing.	لاشيء
I sent them to university.	أرسلتهم للجامعة
There are a total of 283 people, including children.	مجموعهم 283 شخص و ضمنهم أطفال
I'm heading down South.	سأتجة إلى الجنوب
Dude.	ياصاح!
This is unbelievable, Colonel.	هذا غير معقول يا عقيد
Theo Weston lived a life...	السيد "وستون" عاش حياته...
Max, don't.	توقف يا (ماكس)!
We took an oath we would try to do that less.	لقد أقسمنا ألا نقوم بهذا مرةً أخرى
Yeah, well, that's what old people do.	نعم، حسنا، ذلكيفعله كبار السن.
Ah, it's just... spectacular.	أنه فقط ... مذهل
─ Come now, Mr Poulton. You knew that.	أوقفت سيارتي خارج منزله
Targeted him?	استهدفته؟
The rules of procedure of the Board are contained in document TD/B/16/Rev.4 and Corr.1.	1- يرد النظام الداخلي للمجلس في الوثيقة TD/B/16/Rev.4 وCorr.1.
The representative of Vanuatu expressed full support for the statement made by Tonga.	58- وتحدث ممثل فانواتو فأعرب عن تأييده التام للبيان الذي أدلى به ممثل تونغا.
Obviously, that concerns us.	بالتأكيد، إنّها تقلقنا
I had to talk to you.	بجب عليَّ التحـدث معـك.
In accordance with the terms of General Assembly resolution 58/269, the programme narratives are identical to those in the biennial programme plan (A/63/6/Rev.1).	ووفقا لأحكام قرار الجمعية العامة 58/269، جُعلت سرود البرامج مطابقة للسرود الواردة في الخطة البرنامجية لفترة السنتين (A/63/6/Rev.1).
The rest will be deducted from your salary.	الباقى سيخصم من راتبك
Why doesn't that surprise me?	أنت غير مهم
It could not be better.	لا يمكن ان يكون هناك افضل من هذا لا يمكن ان يكون هناك اسوا من هذا
She's just stressed from whatever scared her	إنها متعبة فقط مما أخافها
We could never repay it.	جميلٌ لا نستطيع رده
I took him to see our doctor. He's a bad doctor.	لقد أخذته ليرى طبيبنا{\pos(194,215)} وهو طبيبٌ سيء
I was expecting a cash payment when your men picked me up.	لا ، لا ، لا
1.15-2.30 p.m. Closed meeting Conference Room 4	15/13-30/14 جلسة مغلقة غرفة الاجتماعات 4
Check this out.	تفحصي هذه
- You two need to quit, okay? - Oh, don't talk to me.	نالت منك مجدداً يا رجل - أخبرتك أن تقلعي عن ذلك 00 حسناً
Additional proposed revision: Secretary-General of the PCA as default appointing authority under the Rules	2- اقتراح تنقيح إضافي: الأمين العام لمحكمة التحكيم الدائمة بوصفه سلطة التعيين الاحتياطية بموجب القواعد
Looks like the vehicle has a leak.	يبدو ان السياره بها تسرب
Hard enough seeing him live through a stroke.	يكفيني صعوبة رؤيته بهذه الحالة
Now that it's happened, no.	الآن هذا قد حدثّ.
This is my place!	هذا مكاني
- I'm not accustomed to it.	-أنا لست معتادة على ذلك
- Agreed.	-عظيم، لكن
"Pooja, dear... go inside."	بوجا يا عزيزتي ادخلي لغرفتك الآن
We have nothing to talk about.	ليس هناك ما نتحدث فيه
No, I'm just, you know, I'm just out here, uh, doing my neighborhood watch program.	لا ، انا فقط انت تعلم انا خارج من هنا. اتجول في الحي كالعادة. (يقصد روتينه اليومي)
A man stands up, only to be struck down.	يقف الرجل ليُطرح أرضاً مرّة أخرى
Turn!	إقلبي
- Yeah! - Whoo!	أجل!
All right, guys, it's so past your bedtime, come on.	حسناً يا رفاق لقد تعديتم موعد النوم, هيا
The term “restorative justice” in this provision refers to a general criminological concept and not a term of art in the context of the legal or judicial system of any individual Member State. See, for example, T.	انظر، على سبيل المثال، T. Marshall, “The evolution of restorative justice in Britain”, European Journal on Criminal Policy and Research, No.
- You're on your own, bjorn.	- أنت لوحدك، تتصتاد
Lemon, I have said "good God" to you before, but I don't think I've ever meant it until now.	ليمون) لقدد قلت) لكِ ياللهول من قبل ولكنني لا أعتقد أنني كنت أعنيها حتى الآن !
You've got a lot of nerve, calling.	لديك الجرأة لتتّصل
Can you adjust it?	هَلّ بالإمكان أَنْ تُعدّلُه؟
No one can know Truman's gone.	لا يجدر بأي شخص معرفة خبر مصرع "ترومان".
We do a dozen inspections a year, Agent Gibbs.	نحن نقم بدزينة من المعاينات كلّ سنة أيّها العميل (غيبز)
That pipe, it just so happens to lead directly to the room where I make delicious strawberry-flavored, chocolate-coated fudge.	ذلك الانبوب. يؤدي مباشرتاً الى الغرفة التي اعد بها ألذ شوكلاتة مغطاة بهلام الفراولة
Laurie, thank God you're OK.	لوري) حمدا لله أنك بخير)
This is for skin cancer.	هذا من اجل سرطان الجلد.
